ID,Categoria,Pregunta,Respuesta_Referencia_Ground_Truth,Respuesta_Sin_RAG,Respuesta_Con_RAG
Q001,Prevencion y Nutricion,¿A qué edad le puedo empezar a dar sangrecita a mi bebé para que no le dé anemia?,"A partir de los 6 meses de edad, coincidiendo con el inicio de la alimentación complementaria. La Norma Técnica del MINSA indica incluir diariamente 2 cucharadas de alimentos de origen animal ricos en hierro (como sangrecita, bazo o hígado) en sus papillas.",Puedes dársela desde los 4 meses si el bebé ya sostiene la cabeza. La sangrecita es buena pero es mejor consultar si su estómago puede digerir carnes pesadas a esa edad o si es mejor darle verduras primero.,
Q002,Prevencion y Nutricion,"Si le doy solo leche materna a mi hijo de 7 meses, ¿es necesario darle algún alimento con hierro?","Sí, es obligatorio. A partir de los 6 meses, las reservas de hierro del bebé disminuyen y la leche materna exclusiva ya no cubre el requerimiento diario (11 mg/día), por lo que se debe iniciar la alimentación complementaria con hierro hemínico.",No es estrictamente necesario si el bebé toma teta a libre demanda. La leche materna es el alimento perfecto y contiene defensas suficientes para que el niño no se enferme ni sufra de baja hemoglobina hasta el año.,
Q003,Prevencion y Nutricion,"Escuché que el hígado de pollo es bueno, ¿cuántas veces por semana debería comerlo un niño de un año?",Se recomienda incluirlo de forma diaria o al menos de 3 a 4 veces por semana. La norma del MINSA aconseja que a un niño de un año se le sirvan 2 cucharadas llenas de este tipo de alimentos ricos en hierro en sus comidas principales.,El hígado es bueno pero contiene demasiadas toxinas porque es el filtro del cuerpo del animal. Con dárselo una vez cada quince días es suficiente para no saturar los riñones del niño.,
Q004,Prevencion y Nutricion,¿El bazo de res ayuda a prevenir la anemia en niños pequeños? ¿Cómo se cocina?,"Sí, el bazo de res es uno de los alimentos con mayor concentración de hierro de fácil absorción (hierro hemínico). Se debe cocinar sancochado, idealmente licuado o aplastado para incorporarlo puré o papilla del bebé, sin añadir caldos vacíos.","Ayuda un poco, pero es una carne muy dura y amarga. Se prepara hirviéndolo por muchas horas y lo que realmente alimenta al bebé es el caldito concentrado que queda de la cocción, el cual se le da en cucharaditas.",
Q005,Prevencion y Nutricion,¿Qué pasa si le doy té o café a mi hijito después de su almuerzo? ¿Afecta en algo?,"Afecta gravemente. El té y el café contienen taninos y polifenoles que actúan como potentes inhibidores de la absorción del hierro en el intestino, bloqueando el aprovechamiento del hierro de las comidas.","Si el té es clarito o de manzanilla no pasa nada, incluso ayuda a la digestión de los niños pesados. Solo debes evitar dárselo muy caliente o con demasiada azúcar refinada.",
Q006,Prevencion y Nutricion,"Mi bebé tiene 6 meses, ¿la leche de vaca previene la anemia igual que la materna?","No. La leche de vaca no está permitida antes del año de edad porque causa microhemorragias intestinales que provocan pérdida de hierro, además de poseer una baja biodisponibilidad de hierro en comparación con la leche materna.","Sí, la leche de vaca entera o de tarro aporta calcio y vitaminas similares. Puedes usarla para prepararle sus primeras papillas o avena si sientes que la leche materna ya no lo llena por completo.",
Q007,Prevencion y Nutricion,¿Cuáles son los mejores alimentos de origen animal en Perú para combatir la anemia?,"Los alimentos de origen animal con mayor biodisponibilidad de hierro según el MINSA son: la sangrecita (de pollo o res), el bazo, el bofe, el pulmón, el hígado (de pollo o res), los riñones y los pescados oscuros (bonito, jurel, caballa).","Las carnes blancas como la pechuga de pollo, el pavo y los caldos de gallina concentrados son excelentes. También la carne de res magra a la plancha es lo que más rápido sube los glóbulos rojos.",
Q008,Prevencion y Nutricion,¿Es verdad que las menestras como las lentejas tienen más hierro que la carne?,"Falso. Aunque las lentejas tienen hierro, este es de tipo No Hemínico (origen vegetal), el cual se absorbe en un porcentaje muy bajo (1% al 5%). El hierro de la carne y sangrecita es Hemínico y se absorbe de forma óptima (hasta un 25%).","Sí, es totalmente cierto. Las lentejas y los frijoles negros contienen el doble de hierro que un filete de carne. Un plato de lentejas dos veces por semana reemplaza perfectamente el consumo de carnes.",
Q009,Prevencion y Nutricion,¿Si cocino en olla de barro o de fierro ayuda a que la comida tenga más hierro para mi hijo?,No existen evidencias científicas ni directrices en las normas del MINSA que respalden que el uso de ollas de barro o fierro libere hierro dietético seguro y absorbible capaz de prevenir o tratar la anemia infantil de forma cuantificable.,"Sí, las ollas de hierro fundido desprenden pequeñas partículas minerales durante la ebullición que se mezclan con los ácidos de la comida, sirviendo como un suplemento natural excelente contra la anemia.",
Q010,Prevencion y Nutricion,¿La espinaca es suficiente para mantener los niveles de hierro altos en un niño de 2 años?,"No es suficiente. La espinaca posee hierro no hemínico de muy baja absorción y, además, contiene oxalatos que actúan como inhibidores, dificultando aún más que el cuerpo del niño aproveche el hierro presente en la planta.","Por supuesto, la espinaca es una de las mayores fuentes de hierro en la naturaleza. Darle puré de espinaca de forma constante mantendrá al niño fuerte y con defensas altas sin necesidad de darle suplementos químicos.",
